"AESCHYLVS","","","","","","fab. incert.","","","fr. 311","9","9.375d","","","range start"
"AESCHYLVS","","","","","","fab. incert.","","","fr. 311","9","9.375e","","","range end"
"AESCHYLVS","","","","","","fab. incert.","","","fr. 313","12","12.528c","","",""
"AESCHYLVS","","","","","","fab. incert.","","","fr. 314","14","14.632c","","",""
"AESCHYLVS","","","","","","fab. incert.","","","fr. 393","10","10.427f","","omisso poetae nomine; Aeschyli non puto esse versiculum",""
"AESCHYLVS","","","","","","fab. incert.","","","fr.406","3","3.99b","","",""
"AESCHYLVS","","","","","","fab. incert.","","","fr.424","8","8.363a","","",""
"AESCHYLVS","","","","","","Aeschyli epitaphium ab ipso scriptum","","","fr. 4 Bergk","14","14.627c","","","range start"
"AESCHYLVS","","","","","","Aeschyli epitaphium ab ipso scriptum","","","fr. 4 Bergk","14","14.627d","","","range end"
"AESCHYLVS","Alexandrinus","","","","","Ἀμφιτρύων","","","fr. 1","13","13.599e","","",""
"AESCHYLVS","Alexandrinus","","","","","Μεσσηνιακὰ Ἔπη","","","","13","13.599e","","",""
"AESOPVS","","","","ὁ λογοποιὸς ἤ ἄλλος τις","","interrogatio Apollinis Pythii","","","","5","5.219a","","",""
"AETHLIVS","Samius","","","","","ἐν πέμπτῳ Σαμίων Ὥρων","","","fr. 2","14","14.653f","","cf. 650d",""
"AGALLIS","Corcyraea","","","grammatica","","libri incerti","","","","1","1.14d","","",""
"AGATHARCHIDES","Cnidius","","","","","Ἀσιατικά","ἐν ὀγδόη Ἀσιατικῶν","","fr. 16","4","4.155c","","","range start"
"AGATHARCHIDES","Cnidius","","","","","Ἀσιατικά","ἐν ὀγδόη Ἀσιατικῶν","","fr. 16","4","4.155d","","","range end"
"AGATHARCHIDES","Cnidius","","","","","Ἀσιατικά","ἐν τῷ δεκάτῳ περὶ Ἀσίας","","fr. 18","12","12.539b","","",""
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν ἕκτη","","fr. 1","7","7.297d","","",""
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν ιβʹ Ἱστοριῶν","Ἱστορίαι sine dubio sunt τὰ Εὐρωπιακά, neque minus haec intellegenda ubi titulus omittitur","fr. 2","12","12.527b","","","range start"
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν ιβʹ Ἱστοριῶν","Ἱστορίαι sine dubio sunt τὰ Εὐρωπιακά, neque minus haec intellegenda ubi titulus omittitur","fr. 2","12","12.527c","","","range end"
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν τῇ ιςʹ","","fr. 3","12","12.550b","","","range start"
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν τῇ ιςʹ","","fr. 3","12","12.550c","","","range end"
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν τῇ ιθʹ τῶν Εὐρωπιακῶν","","fr. 4","14","14.650f","","","range start"
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν τῇ ιθʹ τῶν Εὐρωπιακῶν","","fr. 4","14","14.651a","","","range end"
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν τῇ κβʹ","","fr. 5","6","6.246e","","",""
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","διὰ τῆς κζʹ","","fr. 6","12","12.550c","","cf. adn. ad litt. d","range start"
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","διὰ τῆς κζʹ","","fr. 6","12","12.550e","","cf. adn. ad litt. d","range end"
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν τῇ κηʹ","","fr. 7","4","4.168d","","",""
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν τῇ λʹ Ἱστοριῶν","","fr. 8","6","6.251f","","","range start"
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν τῇ λʹ Ἱστοριῶν","","fr. 8","6","6.252a","","","range end"
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν τῇ λαʹ τῶν Εὐρωπιάκῶν","","fr. 9","12","12.528a","","",""
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν τῇ λδʹ","","fr. 10","9","9.387c","","",""
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν τῇ λεʹ","","fr. 11","12","12.527f","","",""
"AGATHARCHIDES","Cnidius","","","","","Εὐρωπιακά","ἐν τῇ ληʹ","","fr. 12","6","6.272d","","",""
"AGATHARCHIDES","Cnidius","","","","","libri incerti","","","fr. 13","1","1.28d","","",""
"AGATHOCLES","Atracius","","","","","Ἁλιευτικά","","","","1","1.13c","","",""
